acc,bac,f1s,seed,Algo
0.6871378910776361,0.6873818423992437,0.7413793103448275,0,KNN
0.7161066048667439,0.7161720159835009,0.7310647639956092,0,NB
0.6929316338354577,0.692983586835095,0.7058823529411764,0,DT
0.8157589803012746,0.815679513620349,0.8019925280199253,0,RF
0.8273464658169177,0.8273046102947494,0.8206979542719616,0,SVM
0.7427578215527231,0.7426554309529947,0.7175572519083969,0,MLP
0.6859791425260718,0.6857195797886053,0.7436140018921477,1,KNN
0.7219003476245655,0.7218543224198677,0.732739420935412,1,NB
0.6906141367323291,0.6905908954197817,0.6969353007945516,1,DT
0.8180764774044033,0.8181608232362292,0.8039950062421972,1,RF
0.8273464658169177,0.8273744306951963,0.823250296559905,1,SVM
0.6755504055619931,0.675638588124087,0.649122807017544,1,MLP
0.6894553881807648,0.6897127696141617,0.74573055028463,2,KNN
0.712630359212051,0.7126809959611584,0.7244444444444443,2,NB
0.7010428736964078,0.7010800678869125,0.7101123595505617,2,DT
0.8076477404403245,0.8075561785683596,0.7909319899244334,2,RF
0.8238702201622248,0.8238243318724757,0.8164251207729468,2,SVM
0.7473928157589803,0.7473038583827447,0.7261306532663316,2,MLP
0.6848203939745076,0.6850482297843087,0.7364341085271319,3,KNN
0.7288528389339514,0.7288927558649136,0.7376681614349776,3,NB
0.6813441483198146,0.6813450631606084,0.6813441483198147,3,DT
0.8018539976825029,0.8017315459310819,0.7782101167315175,3,RF
0.8041714947856315,0.8041161811463435,0.7941534713763703,3,SVM
0.6801853997682503,0.6801795995531494,0.6783216783216783,3,MLP
0.6906141367323291,0.6908567500214832,0.7440076701821668,4,KNN
0.7172653534183082,0.7173159963908224,0.7288888888888889,4,NB
0.6987253765932793,0.6987383990719258,0.7018348623853211,4,DT
0.8064889918887601,0.8064121981610382,0.7925465838509318,4,RF
0.8146002317497103,0.8145543310131478,0.8067632850241547,4,SVM
0.746234067207416,0.7462672939761107,0.7531003382187148,4,MLP
0.6929316338354577,0.6926720804331012,0.7492904446546831,5,KNN
0.7149478563151797,0.7149125633754404,0.7235955056179775,5,NB
0.6813441483198146,0.6813450631606084,0.6813441483198147,5,DT
0.8180764774044033,0.818171564836298,0.802017654476671,5,RF
0.8238702201622248,0.8239102646730256,0.8177458033573141,5,SVM
0.7497103128621089,0.7497072913981266,0.7505773672055427,5,MLP
0.6685979142526072,0.6688498968806393,0.7276190476190476,6,KNN
0.727694090382387,0.7277138652573687,0.7320410490307867,6,NB
0.6836616454229433,0.6836759903755263,0.6872852233676976,6,DT
0.8157589803012746,0.8156687720202802,0.7999999999999999,6,RF
0.8088064889918888,0.8087672939761107,0.801920768307323,6,SVM
0.7497103128621089,0.7497287745982641,0.7534246575342466,6,MLP
0.6685979142526072,0.6683343000773395,0.7301886792452831,7,KNN
0.7056778679026651,0.7055995961158374,0.7245119305856832,7,NB
0.694090382387022,0.6940980278422274,0.6923076923076923,7,DT
0.7960602549246814,0.7961378576952822,0.7816377171215881,7,RF
0.8053302433371958,0.8053622067543181,0.7999999999999999,7,SVM
0.7230590961761297,0.7229553364269141,0.7460148777895856,7,MLP
0.6813441483198146,0.6810872647589585,0.7393364928909953,8,KNN
0.7242178447276941,0.7241879350348028,0.7313769751693003,8,NB
0.6952491309385863,0.6952554352496347,0.6938300349243306,8,DT
0.8006952491309386,0.8008050829251525,0.7800511508951405,8,RF
0.8053302433371958,0.8053783191544213,0.7971014492753623,8,SVM
0.7369640787949016,0.736959697516542,0.7381776239907728,8,MLP
0.6778679026651216,0.6781252685400018,0.7362428842504745,9,KNN
0.7184241019698725,0.7184304373979548,0.7197231833910035,9,NB
0.6987253765932793,0.6987437698719601,0.7031963470319634,9,DT
0.8064889918887601,0.806382658760849,0.7867177522349935,9,RF
0.8192352259559675,0.8191705336426914,0.8083538083538083,9,SVM
0.7392815758980301,0.7392959955314944,0.7422680412371134,9,MLP
0.694090382387022,0.6938590272406977,0.7451737451737451,10,KNN
0.6882966396292005,0.6882250580046403,0.7066521264994549,10,NB
0.6778679026651216,0.677813762138008,0.6924778761061947,10,DT
0.8099652375434531,0.8100482297843087,0.7955112219451371,10,RF
0.8076477404403245,0.8076716507690986,0.8037825059101655,10,SVM
0.7184241019698725,0.7185029431984188,0.6981366459627328,10,MLP
0.6674391657010429,0.6671661510698634,0.7310215557638238,11,KNN
0.7253765932792584,0.7253346008421415,0.735195530726257,11,NB
0.6848203939745076,0.6847850605826244,0.6943820224719102,11,DT
0.8261877172653534,0.8262573042880468,0.8152709359605911,11,RF
0.828505214368482,0.8285506359027242,0.8216867469879517,11,SVM
0.7137891077636153,0.7137658975681017,0.7196367763904654,11,MLP
0.694090382387022,0.6938563418406806,0.7456647398843931,12,KNN
0.7346465816917729,0.7346341411016585,0.7376861397479954,12,NB
0.727694090382387,0.7276896966572141,0.728950403690888,12,DT
0.8215527230590962,0.8216518432585718,0.8050632911392406,12,RF
0.8215527230590962,0.8216088768582968,0.8126520681265207,12,SVM
0.7288528389339514,0.728855160264673,0.728538283062645,12,MLP
0.6790266512166859,0.6792961029474951,0.7394167450611477,13,KNN
0.6917728852838934,0.6918315502277219,0.7064017660044151,13,NB
0.7161066048667439,0.7160968247830197,0.7134502923976607,13,DT
0.8146002317497103,0.8145247916129587,0.8014888337468982,13,RF
0.8041714947856315,0.804137664346481,0.7980884109916369,13,SVM
0.6767091541135574,0.6766295007304288,0.6525529265255292,13,MLP
0.6767091541135574,0.6764361519291914,0.7385192127460167,14,KNN
0.7161066048667439,0.7160189481825212,0.736275565123789,14,NB
0.694090382387022,0.6940953424422102,0.6930232558139535,14,DT
0.8238702201622248,0.8239639726733694,0.8085642317380353,14,RF
0.8250289687137891,0.8250623012803987,0.8200238379022646,14,SVM
0.7404403244495944,0.7405232233393486,0.7206982543640897,14,MLP
0.6871378910776361,0.6873711007991751,0.7393822393822393,15,KNN
0.7230590961761297,0.7231003480278422,0.7323628219484882,15,NB
0.7056778679026651,0.7057016413164905,0.7113636363636364,15,DT
0.816917728852839,0.8168234940276704,0.8005050505050505,15,RF
0.8261877172653534,0.8261498882873592,0.8201438848920862,15,SVM
0.709154113557358,0.7090959869382143,0.6935286935286935,15,MLP
0.6882966396292005,0.688031709203403,0.7464655984919888,16,KNN
0.7253765932792584,0.7253184884420383,0.7386990077177508,16,NB
0.6813441483198146,0.6813182091604366,0.6885617214043035,16,DT
0.8238702201622248,0.8239505456732835,0.8109452736318409,16,RF
0.8238702201622248,0.8239210062730944,0.8159806295399515,16,SVM
0.6801853997682503,0.6804132293546447,0.6023054755043228,16,MLP
0.6952491309385863,0.695013749248088,0.7468719923002888,17,KNN
0.727694090382387,0.7276655280570594,0.7344632768361582,17,NB
0.6998841251448435,0.6998528400790582,0.7080045095828637,17,DT
0.8111239860950173,0.8112217495918193,0.7939317319848294,17,RF
0.8250289687137891,0.8250864698805533,0.8160779537149816,17,SVM
0.7242178447276941,0.7242980364355074,0.7039800995024875,17,MLP
0.6662804171494786,0.6665753630660823,0.7338262476894639,18,KNN
0.7022016222479722,0.702269700094526,0.7185104052573932,18,NB
0.697566628041715,0.6976185872647589,0.7103218645948945,18,DT
0.8157589803012746,0.815682199020366,0.8024844720496894,18,RF
0.8076477404403245,0.8076098865687034,0.8009592326139089,18,SVM
0.712630359212051,0.7126138609607287,0.7082352941176472,18,MLP
0.6848203939745076,0.6846078241814901,0.7338551859099806,19,KNN
0.7103128621089224,0.7102936753458795,0.7152619589977222,19,NB
0.7288528389339514,0.7288605310647074,0.7272727272727272,19,DT
0.8215527230590962,0.821654528658589,0.8045685279187816,19,RF
0.7995365005793743,0.7996047091174701,0.7872078720787208,19,SVM
0.7265353418308227,0.7265564578499614,0.7216981132075472,19,MLP
0.6801853997682503,0.6799352281515855,0.7371428571428572,20,KNN
0.6964078794901506,0.6963645054567329,0.7075892857142857,20,NB
0.6952491309385863,0.6952232104494285,0.7021517553793883,20,DT
0.7833140208574739,0.7834171178138696,0.7623888182973315,20,RF
0.7914252607184241,0.7914733178654292,0.7826086956521738,20,SVM
0.697566628041715,0.6976857222651887,0.6632258064516129,20,MLP
0.6674391657010429,0.667160780269829,0.7320261437908497,21,KNN
0.7172653534183082,0.7172005241900834,0.7324561403508771,21,NB
0.6685979142526072,0.6685920984789895,0.6705069124423964,21,DT
0.8122827346465817,0.812341561398986,0.8024390243902438,21,RF
0.8088064889918888,0.8088344289765403,0.804270462633452,21,SVM
0.6245654692931634,0.6243877287960815,0.674698795180723,21,MLP
0.6882966396292005,0.6880343946034202,0.7459867799811143,22,KNN
0.7114716106604867,0.7114161725530634,0.7248618784530386,22,NB
0.694090382387022,0.694049690641918,0.7046979865771812,22,DT
0.8238702201622248,0.8239586018733351,0.8095238095238095,22,RF
0.8296639629200464,0.8296919309100284,0.8256227758007116,22,SVM
0.626882966396292,0.6269683982125978,0.5974999999999999,22,MLP
0.697566628041715,0.6973205078628513,0.7507163323782235,23,KNN
0.7195828505214369,0.719528766004984,0.7323008849557522,23,NB
0.6836616454229433,0.6836733049755092,0.6807017543859649,23,DT
0.7983777520278099,0.7984741557102346,0.7803030303030303,23,RF
0.8076477404403245,0.8076823923691674,0.801909307875895,23,SVM
0.6628041714947857,0.6627218140414196,0.6854054054054054,23,MLP
0.6743916570104287,0.6746772149179342,0.7386046511627907,24,KNN
0.7161066048667439,0.7161478473833462,0.7256438969764838,24,NB
0.6952491309385863,0.6952608060496692,0.6980482204362801,24,DT
0.7949015063731171,0.794795157686689,0.7739463601532568,24,RF
0.8157589803012746,0.8157009968204864,0.8058608058608058,24,SVM
0.7334878331402086,0.7334149694938559,0.7153465346534653,24,MLP
0.660486674391657,0.6607346180287016,0.720152817574021,25,KNN
0.7346465816917729,0.7347066469021225,0.7475192943770672,25,NB
0.7184241019698725,0.7184492351980751,0.7241770715096482,25,DT
0.8273464658169177,0.8272723854945433,0.815365551425031,25,RF
0.8250289687137891,0.8249978516799863,0.8200238379022646,25,SVM
0.52954808806489,0.5293460513878148,0.4297752808988764,25,MLP
0.6778679026651216,0.6776069863366847,0.7372400756143667,26,KNN
0.709154113557358,0.7090959869382143,0.7232635060639471,26,NB
0.6732329084588644,0.6732190427086019,0.6773455377574371,26,DT
0.8203939745075318,0.8204648964509753,0.8088779284833539,26,RF
0.828505214368482,0.8285452651026897,0.8225419664268586,26,SVM
0.7404403244495944,0.7404453467388503,0.7395348837209303,26,MLP
0.6836616454229433,0.6833913379737045,0.7436619718309859,27,KNN
0.7068366164542295,0.7068080261235714,0.7141242937853107,27,NB
0.6674391657010429,0.6674481180716679,0.6651108518086348,27,DT
0.8030127462340672,0.8030903583397784,0.7890818858560794,27,RF
0.8088064889918888,0.8088559121766778,0.8004836759371222,27,SVM
0.6882966396292005,0.6882438558047607,0.7021040974529346,27,MLP
0.6882966396292005,0.6880343946034202,0.7459867799811143,28,KNN
0.7323290845886443,0.7322844160866202,0.7424749163879599,28,NB
0.709154113557358,0.7091040431382658,0.7214206437291898,28,DT
0.8308227114716107,0.8308923047177108,0.8201970443349753,28,RF
0.8412514484356894,0.8412848027842228,0.8367103694874851,28,SVM
0.7439165701042874,0.7438665463607459,0.7547169811320755,28,MLP
0.6709154113557358,0.6706195754919653,0.7380073800738006,29,KNN
0.7149478563151797,0.7148964509753373,0.7272727272727273,29,NB
0.697566628041715,0.6975460814642949,0.7030716723549487,29,DT
0.8053302433371958,0.8054347125547822,0.7862595419847329,29,RF
0.813441483198146,0.8134694294062044,0.8090154211150653,29,SVM
0.7288528389339514,0.7288390478645699,0.7322654462242563,29,MLP
